modo_medida,filtro,tipo_de_seqs,tipo_de_plataformas,tipo_de_modos,comparacion,r_cuadrado
TPM,0,ont,isoquant,qc,B20K80,0.5453 
TPM,0,ont,isoquant,qc,B80K20,0.4643 
TPM,0,ont,isoquant,rq,B20K80,0.5432 
TPM,0,ont,isoquant,rq,B80K20,0.4662 
TPM,1,isoseq,isoseq,qc,B20K80,0.2412 
TPM,1,isoseq,isoseq,qc,B80K20,0.2404 
TPM,1,isoseq,isoseq,fl,B20K80,0.2412 
TPM,1,isoseq,isoseq,fl,B80K20,0.2404 
TPM,1,isoseq,isocall,raw,B20K80,0.8727 
TPM,1,isoseq,isocall,raw,B80K20,0.871 
TPM,1,isoseq,isoseq,raw,B20K80,0.2412 
TPM,1,isoseq,isoseq,raw,B80K20,0.2404 
TPM,1,isoseq,isocall,qc,B20K80,0.8727 
TPM,1,isoseq,isocall,qc,B80K20,0.871 
TPM,1,isoseq,isoseq,rq,B20K80,0.2425 
TPM,1,isoseq,isoseq,rq,B80K20,0.2426 
TPM,1,isoseq,isocall,fl,B20K80,0.8727 
TPM,1,isoseq,isocall,fl,B80K20,0.871 
TPM,1,isoseq,isocall,rq,B20K80,0.871 
TPM,1,isoseq,isocall,rq,B80K20,0.8643 
TPM,1,isoseq,bambu,qc,B20K80,0.8742 
TPM,1,isoseq,bambu,qc,B80K20,0.8713 
TPM,1,isoseq,bambu,fl,B20K80,0.8742 
TPM,1,isoseq,bambu,fl,B80K20,0.8713 
TPM,1,isoseq,bambu,raw,B20K80,0.8744 
TPM,1,isoseq,bambu,raw,B80K20,0.8719 
